DS	TC	SGMT	NUM_TXN	TXN_SIZ	THRD_CT	TIME	ABRTS
COMPA	10	16	10000	4	1	801427261	0
COMPA	11	16	10000	4	1	621819935	0
COMPA	12	16	10000	4	1	545917347	0
COMPA	13	16	10000	4	1	494606054	0
COMPA	14	16	10000	4	1	728622910	0
COMPA	15	16	10000	4	1	688075652	0
COMPA	16	16	10000	4	1	476863905	0
COMPA	17	16	10000	4	1	553669936	0
COMPA	18	16	10000	4	1	342210814	4097
COMPA	19	16	10000	4	1	74721	0
BOOST	01	16	10000	4	1	763750858	0
BOOST	02	16	10000	4	1	752439101	0
BOOST	03	16	10000	4	1	300696081	0
BOOST	04	16	10000	4	1	770066716	0
BOOST	05	16	10000	4	1	764329118	0
BOOST	06	16	10000	4	1	762582293	0
BOOST	07	16	10000	4	1	760869253	0
BOOST	08	16	10000	4	1	767452682	0
BOOST	09	16	10000	4	1	763764340	0
BOOST	10	16	10000	4	1	762466090	0
BOOST	11	16	10000	4	1	597425077	0
BOOST	12	16	10000	4	1	517681991	0
BOOST	13	16	10000	4	1	480002785	0
BOOST	14	16	10000	4	1	690857807	0
BOOST	15	16	10000	4	1	656936130	0
BOOST	16	16	10000	4	1	463113638	0
BOOST	17	16	10000	4	1	544164547	0
BOOST	18	16	10000	4	1	330312339	0
BOOST	19	16	10000	4	1	58641	0
STMVE	01	16	10000	4	1	4948712	0
STMVE	02	16	10000	4	1	4721588	0
STMVE	03	16	10000	4	1	4576315	3522
STMVE	04	16	10000	4	1	5199914	0
STMVE	05	16	10000	4	1	4782978	0
STMVE	06	16	10000	4	1	5243854	0
STMVE	07	16	10000	4	1	5180642	0
STMVE	08	16	10000	4	1	5058221	0
STMVE	09	16	10000	4	1	5414175	0
STMVE	10	16	10000	4	1	5109330	0
STMVE	11	16	10000	4	1	5235882	0
STMVE	12	16	10000	4	1	5083490	0
STMVE	13	16	10000	4	1	5152990	0
STMVE	14	16	10000	4	1	5222651	0
STMVE	15	16	10000	4	1	5216820	0
STMVE	16	16	10000	4	1	4900186	0
STMVE	17	16	10000	4	1	5093988	0
STMVE	18	16	10000	4	1	4723263	4285
STMVE	19	16	10000	4	1	67461	1
SEGME	01	16	10000	5	1	44418334	0
SEGME	02	16	10000	5	1	34561131	0
SEGME	03	16	10000	5	1	45939305	0
SEGME	04	16	10000	5	1	148988646	0
SEGME	05	16	10000	5	1	136330431	0
SEGME	06	16	10000	5	1	142713350	0
SEGME	07	16	10000	5	1	144272238	0
SEGME	08	16	10000	5	1	140687292	0
SEGME	09	16	10000	5	1	144850412	0
SEGME	10	16	10000	5	1	139934989	0
SEGME	11	16	10000	5	1	96929900	0
SEGME	12	16	10000	5	1	74786984	0
SEGME	13	16	10000	5	1	63280198	0
SEGME	14	16	10000	5	1	125176210	0
SEGME	15	16	10000	5	1	116870463	0
SEGME	16	16	10000	5	1	36249383	0
SEGME	17	16	10000	5	1	33692789	0
SEGME	18	16	10000	5	1	23995734	5131
SEGME	19	16	10000	5	1	61901	0
COMPA	01	16	10000	5	1	984587737	0
COMPA	02	16	10000	5	1	975884082	0
COMPA	03	16	10000	5	1	370040926	0
COMPA	04	16	10000	5	1	1003031167	0
COMPA	05	16	10000	5	1	998801509	0
COMPA	06	16	10000	5	1	1004305895	0
COMPA	07	16	10000	5	1	999786298	0
COMPA	08	16	10000	5	1	1001306057	0
COMPA	09	16	10000	5	1	1001708991	0
COMPA	10	16	10000	5	1	1001970794	0
COMPA	11	16	10000	5	1	756811913	0
COMPA	12	16	10000	5	1	656402105	0
COMPA	13	16	10000	5	1	596648902	0
COMPA	14	16	10000	5	1	897737050	0
COMPA	15	16	10000	5	1	855699524	0
COMPA	16	16	10000	5	1	545848876	0
COMPA	17	16	10000	5	1	656157034	0
COMPA	18	16	10000	5	1	368949215	5150
COMPA	19	16	10000	5	1	63093	0
BOOST	01	16	10000	5	1	952239925	0
BOOST	02	16	10000	5	1	953867517	0
BOOST	03	16	10000	5	1	359664622	0
BOOST	04	16	10000	5	1	968504404	0
