DS	TC	SGMT	NUM_TXN	TXN_SIZ	THRD_CT	TIME	ABRTS
BOOST	07	16	10000	3	2	87814404	0
BOOST	08	16	10000	3	2	78440473	0
BOOST	09	16	10000	3	2	70982169	0
BOOST	10	16	10000	3	2	90299684	0
BOOST	11	16	10000	3	2	95486279	0
BOOST	12	16	10000	3	2	83400122	0
BOOST	13	16	10000	3	2	76669311	0
BOOST	14	16	10000	3	2	81759365	0
BOOST	15	16	10000	3	2	89656897	0
BOOST	16	16	10000	3	2	109531960	0
BOOST	17	16	10000	3	2	115073599	0
BOOST	18	16	10000	3	2	96230771	0
BOOST	19	16	10000	3	2	168323	0
STMVE	01	16	10000	3	2	1277297	0
STMVE	02	16	10000	3	2	1296543	0
STMVE	03	16	10000	3	2	7427568	2934
STMVE	04	16	10000	3	2	1939855	0
STMVE	05	16	10000	3	2	2100781	0
STMVE	06	16	10000	3	2	2474945	0
STMVE	07	16	10000	3	2	2032506	0
STMVE	08	16	10000	3	2	2284348	0
STMVE	09	16	10000	3	2	2259524	0
STMVE	10	16	10000	3	2	1919005	0
STMVE	11	16	10000	3	2	8669682	0
STMVE	12	16	10000	3	2	9558307	0
STMVE	13	16	10000	3	2	9940620	0
STMVE	14	16	10000	3	2	8306228	0
STMVE	15	16	10000	3	2	8937800	0
STMVE	16	16	10000	3	2	8995416	0
STMVE	17	16	10000	3	2	8375029	0
STMVE	18	16	10000	3	2	7974020	2903
STMVE	19	16	10000	3	2	172829	2
SEGME	01	16	10000	4	2	9909454	0
SEGME	02	16	10000	4	2	9208665	0
SEGME	03	16	10000	4	2	8448751326	0
SEGME	04	16	10000	4	2	25566811	0
SEGME	05	16	10000	4	2	26621444	0
SEGME	06	16	10000	4	2	28101308	0
SEGME	07	16	10000	4	2	29947778	0
SEGME	08	16	10000	4	2	26142655	0
SEGME	09	16	10000	4	2	31068138	0
SEGME	10	16	10000	4	2	25782140	0
SEGME	11	16	10000	4	2	8416182763	0
SEGME	12	16	10000	4	2	8395000899	0
SEGME	13	16	10000	4	2	8439947957	6
SEGME	14	16	10000	4	2	8342949144	0
