DS	TESTCASE	SGMT_SIZE	NUM_TXN	TXN_SIZE	THRD_CNT	TIME	ABORTS	SYSTEM	THRUPUT	RELATIVE
STMVE	9	16	10000	3	1	3871826	0	INTEL	7748282.076725556	1.0
STMVE	10	16	10000	3	1	3958742	0	INTEL	7578164.982714206	1.0
STMVE	11	16	10000	3	1	4332761	0	INTEL	6923991.422559426	1.0
STMVE	12	16	10000	3	1	4322400	0	INTEL	6940588.56191005	1.0
STMVE	13	16	10000	3	1	4356511	0	INTEL	6886244.519983997	1.0
STMVE	14	16	10000	3	1	4231678	0	INTEL	7089386.290733841	1.0
STMVE	15	16	10000	3	1	4272463	0	INTEL	7021710.896033506	1.0
STMVE	16	16	10000	3	1	4017754	0	INTEL	7466858.349217	1.0
STMVE	17	16	10000	3	1	4003171	0	INTEL	7494059.084660635	1.0
STMVE	18	16	10000	3	1	3775727	2761	INTEL	7945489.703042619	1.0
STMVE	19	16	10000	3	1	69985	1	INTEL	428663284.98964065	1.0
SEGME	1	16	10000	4	1	18730385	0	INTEL	2135567.421598648	1.0
SEGME	2	16	10000	4	1	14623455	0	INTEL	2735331.698288811	1.0
SEGME	3	16	10000	4	1	20280443	0	INTEL	1972343.5035418111	1.0
SEGME	4	16	10000	4	1	41270309	0	INTEL	969219.784615618	1.0
SEGME	5	16	10000	4	1	37379004	0	INTEL	1070119.4713481397	1.0
SEGME	6	16	10000	4	1	40289184	0	INTEL	992822.29195806	1.0
SEGME	7	16	10000	4	1	39975147	0	INTEL	1000621.711284764	1.0
SEGME	8	16	10000	4	1	39524103	0	INTEL	1012040.6780642181	1.0
SEGME	9	16	10000	4	1	40734636	0	INTEL	981965.3230729741	1.0
SEGME	10	16	10000	4	1	39372613	0	INTEL	1015934.6040863481	1.0
SEGME	11	16	10000	4	1	31245857	0	INTEL	1280169.7197807697	1.0
SEGME	12	16	10000	4	1	28294452	0	INTEL	1413704.7079052813	1.0
SEGME	13	16	10000	4	1	24104522	0	INTEL	1659439.6686231736	1.0
SEGME	14	16	10000	4	1	36489515	0	INTEL	1096205.3071957794	1.0
SEGME	15	16	10000	4	1	35321035	0	INTEL	1132469.645920625	1.0
SEGME	16	16	10000	4	1	16366952	0	INTEL	2443949.246017218	1.0
SEGME	17	16	10000	4	1	15202456	0	INTEL	2631153.8083057106	1.0
SEGME	18	16	10000	4	1	13333068	4147	INTEL	3000059.7011880535	1.0
SEGME	19	16	10000	4	1	139032	0	INTEL	287703550.26181024	1.0
COMPA	1	16	10000	4	1	104707704	0	INTEL	382015.82569320785	1.0
COMPA	2	16	10000	4	1	105261917	0	INTEL	380004.47968280874	1.0
COMPA	3	16	10000	4	1	53421277	0	INTEL	748765.328092026	1.0
COMPA	4	16	10000	4	1	108076227	0	INTEL	370109.1452794702	1.0
COMPA	5	16	10000	4	1	91369984	0	INTEL	437780.52976347244	1.0
COMPA	6	16	10000	4	1	109807976	0	INTEL	364272.26379256824	1.0
COMPA	7	16	10000	4	1	107620199	0	INTEL	371677.4394739783	1.0
COMPA	8	16	10000	4	1	91635958	0	INTEL	436509.86875697854	1.0
COMPA	9	16	10000	4	1	92244450	0	INTEL	433630.4243778352	1.0
COMPA	10	16	10000	4	1	108253775	0	INTEL	369502.1259073875	1.0
COMPA	11	16	10000	4	1	69820712	0	INTEL	572895.9051577704	1.0
COMPA	12	16	10000	4	1	79323393	0	INTEL	504264.86421225074	1.0
COMPA	13	16	10000	4	1	71210667	0	INTEL	561713.5983293065	1.0
COMPA	14	16	10000	4	1	82522765	0	INTEL	484714.7329588387	1.0
COMPA	15	16	10000	4	1	95832921	0	INTEL	417393.10022700863	1.0
COMPA	16	16	10000	4	1	70091853	0	INTEL	570679.7336346636	1.0
COMPA	17	16	10000	4	1	78484359	0	INTEL	509655.68821171107	1.0
COMPA	18	16	10000	4	1	57912301	4214	INTEL	690699.5458529614	1.0
COMPA	19	16	10000	4	1	144815	0	INTEL	276214480.54414254	1.0
BOOST	1	16	10000	4	1	104127083	0	INTEL	384145.9767004133	1.0
BOOST	2	16	10000	4	1	98246930	0	INTEL	407137.40368274105	1.0
BOOST	3	16	10000	4	1	55055159	0	INTEL	726544.0828170163	1.0
BOOST	4	16	10000	4	1	106179197	0	INTEL	376721.62843725405	1.0
BOOST	5	16	10000	4	1	88950568	0	INTEL	449687.9660172603	1.0
BOOST	6	16	10000	4	1	102814401	0	INTEL	389050.55722690054	1.0
BOOST	7	16	10000	4	1	101249654	0	INTEL	395063.07843777916	1.0
BOOST	8	16	10000	4	1	105559751	0	INTEL	378932.30725790554	1.0
BOOST	9	16	10000	4	1	86370717	0	INTEL	463119.9252404029	1.0
BOOST	10	16	10000	4	1	107132004	0	INTEL	373371.1543377831	1.0
BOOST	11	16	10000	4	1	70961226	0	INTEL	563688.1189172239	1.0
BOOST	12	16	10000	4	1	59222172	0	INTEL	675422.7116155078	1.0
BOOST	13	16	10000	4	1	72651018	0	INTEL	550577.2816562598	1.0
BOOST	14	16	10000	4	1	78306415	0	INTEL	510813.8330684657	1.0
BOOST	15	16	10000	4	1	74787604	0	INTEL	534847.994328044	1.0
BOOST	16	16	10000	4	1	53202170	0	INTEL	751849.0317218264	1.0
BOOST	17	16	10000	4	1	82174919	0	INTEL	486766.5278745209	1.0
BOOST	18	16	10000	4	1	55840000	0	INTEL	716332.3782234957	1.0
BOOST	19	16	10000	4	1	72859	0	INTEL	549005613.5823989	1.0
STMVE	1	16	10000	4	1	3666448	0	INTEL	10909741.526403757	1.0
STMVE	2	16	10000	4	1	3631422	0	INTEL	11014968.79183967	1.0
STMVE	3	16	10000	4	1	4267182	3531	INTEL	9373867.812528268	1.0
STMVE	4	16	10000	4	1	3725353	0	INTEL	10737237.518162709	1.0
STMVE	5	16	10000	4	1	3686478	0	INTEL	10850464.861040808	1.0
STMVE	6	16	10000	4	1	4312256	0	INTEL	9275887.14584663	1.0
STMVE	7	16	10000	4	1	4119816	0	INTEL	9709171.477561133	1.0
STMVE	8	16	10000	4	1	4162412	0	INTEL	9609812.772017762	1.0
STMVE	9	16	10000	4	1	4036455	0	INTEL	9909685.602837143	1.0
STMVE	10	16	10000	4	1	4033242	0	INTEL	9917579.95181048	1.0
STMVE	11	16	10000	4	1	4719473	0	INTEL	8475522.584830975	1.0
STMVE	12	16	10000	4	1	4692600	0	INTEL	8524059.15697055	1.0
STMVE	13	16	10000	4	1	4728715	0	INTEL	8458957.66608899	1.0
STMVE	14	16	10000	4	1	4580486	0	INTEL	8732697.796696682	1.0
STMVE	15	16	10000	4	1	4633975	0	INTEL	8631898.100442924	1.0
STMVE	16	16	10000	4	1	4262197	0	INTEL	9384831.344022812	1.0
STMVE	17	16	10000	4	1	4218254	0	INTEL	9482596.353846876	1.0
STMVE	18	16	10000	4	1	3841338	4269	INTEL	10413038.373608362	1.0
STMVE	19	16	10000	4	1	93092	1	INTEL	429682464.65861726	1.0
SEGME	1	16	10000	5	1	19424002	0	INTEL	2574134.825562724	1.0
